Channel              :		CH1		CH2
Frequency            :		732.4Hz		75.30Hz
Period               :		1.365ms		13.28ms
PK-PK                :		703.1mV		9.766mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.012207mV
Time interval        :		10.00000uS		10.00000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
1		-312.500000		6.054688
2		-312.500000		6.054688
3		-312.500000		5.859375
4		-312.500000		5.273438
5		312.500000		5.078125
6		312.500000		4.296875
7		390.625000		3.906250
8		312.500000		4.492188
9		312.500000		4.296875
10		312.500000		4.296875
11		312.500000		4.492188
12		312.500000		4.687500
13		312.500000		5.273438
14		312.500000		5.078125
15		312.500000		5.273438
16		312.500000		5.078125
17		312.500000		5.078125
18		312.500000		4.882813
19		312.500000		5.859375
20		312.500000		5.273438
21		312.500000		4.296875
22		312.500000		4.296875
23		312.500000		4.101563
24		312.500000		4.492188
25		312.500000		4.296875
26		312.500000		4.492188
27		312.500000		4.101563
28		312.500000		4.296875
29		312.500000		4.687500
30		312.500000		5.078125
31		312.500000		5.078125
32		312.500000		5.078125
33		312.500000		5.468750
34		312.500000		4.882813
35		312.500000		5.664063
36		312.500000		5.078125
37		312.500000		5.468750
38		312.500000		5.468750
39		-312.500000		5.664063
40		-312.500000		5.078125
41		-312.500000		5.468750
42		-312.500000		5.078125
43		-312.500000		5.078125
44		-312.500000		4.492188
45		-312.500000		4.296875
46		-312.500000		4.101563
47		-312.500000		3.710938
48		-312.500000		3.515625
49		-312.500000		3.515625
50		-312.500000		2.929688
51		-312.500000		2.734375
52		-312.500000		3.125000
53		-312.500000		3.320313
54		-312.500000		3.320313
55		-312.500000		3.906250
56		-312.500000		4.296875
57		-312.500000		4.296875
58		-312.500000		5.273438
59		-312.500000		5.468750
60		-312.500000		5.468750
61		-312.500000		5.273438
62		-312.500000		5.078125
63		-312.500000		5.078125
64		-312.500000		5.078125
65		-312.500000		4.687500
66		-312.500000		4.492188
67		-312.500000		4.687500
68		-312.500000		4.492188
69		-312.500000		4.687500
70		-312.500000		4.882813
71		-312.500000		5.468750
72		-312.500000		6.054688
73		-312.500000		5.859375
74		-312.500000		5.273438
75		-312.500000		4.492188
76		-312.500000		4.296875
77		-312.500000		3.710938
78		312.500000		3.710938
79		312.500000		2.929688
80		312.500000		3.125000
81		312.500000		4.492188
82		312.500000		4.492188
83		312.500000		4.687500
84		312.500000		4.492188
85		312.500000		5.078125
86		312.500000		4.882813
87		312.500000		4.101563
88		312.500000		3.515625
89		312.500000		4.101563
90		312.500000		4.101563
91		312.500000		3.320313
92		312.500000		5.078125
93		312.500000		5.859375
94		312.500000		6.054688
95		312.500000		5.664063
96		312.500000		5.273438
97		312.500000		4.296875
98		312.500000		4.882813
99		312.500000		5.664063
100		312.500000		5.664063
101		312.500000		6.054688
102		312.500000		6.054688
103		312.500000		5.078125
104		312.500000		4.882813
105		312.500000		4.687500
106		312.500000		4.882813
107		312.500000		5.664063
108		312.500000		5.273438
109		312.500000		4.687500
110		312.500000		3.906250
111		-312.500000		3.906250
112		-312.500000		4.492188
113		-312.500000		5.273438
114		-312.500000		5.273438
115		-312.500000		4.882813
116		-312.500000		4.101563
117		-312.500000		3.906250
118		-312.500000		4.882813
119		-312.500000		6.054688
120		-312.500000		6.250000
121		-312.500000		5.664063
122		-312.500000		4.882813
123		-312.500000		4.296875
124		-312.500000		5.273438
125		-312.500000		6.250000
126		-312.500000		6.445313
127		-312.500000		5.664063
128		-312.500000		5.078125
129		-312.500000		4.882813
130		-312.500000		5.468750
131		-312.500000		5.664063
132		-312.500000		5.859375
133		-312.500000		5.664063
134		-312.500000		5.273438
135		-312.500000		4.882813
136		-312.500000		4.687500
137		-312.500000		4.882813
138		-312.500000		5.078125
139		-312.500000		5.078125
140		-312.500000		5.273438
141		-312.500000		4.492188
142		-312.500000		4.492188
143		-312.500000		4.101563
144		-312.500000		4.687500
145		-312.500000		6.250000
146		-312.500000		6.054688
147		-312.500000		5.859375
148		-312.500000		5.273438
149		-312.500000		4.882813
150		312.500000		5.664063
151		312.500000		6.250000
152		312.500000		6.835938
153		312.500000		6.640625
154		312.500000		5.664063
155		312.500000		4.882813
156		312.500000		4.882813
157		312.500000		5.468750
158		312.500000		5.859375
159		312.500000		5.859375
160		312.500000		4.687500
161		312.500000		3.710938
162		312.500000		4.492188
163		312.500000		4.492188
164		312.500000		5.664063
165		312.500000		6.054688
166		312.500000		4.882813
167		312.500000		4.492188
168		312.500000		4.882813
169		312.500000		4.687500
170		312.500000		5.664063
171		312.500000		5.468750
172		312.500000		4.882813
173		312.500000		4.296875
174		312.500000		3.710938
175		312.500000		3.906250
176		312.500000		4.492188
177		312.500000		4.101563
178		312.500000		4.492188
179		312.500000		4.882813
