Channel              :		CH1		CH2
Frequency            :		  ?		10.70kHz
Period               :		  ?		93.467us
PK-PK                :		3.047V		75.78mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.048828mV
Time interval        :		1.00000uS		1.00000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
1		-1406.250000		3.906250
2		-1406.250000		3.906250
3		-1406.250000		2.343750
4		-1406.250000		-3.906250
5		-1406.250000		-8.593750
6		-1406.250000		-13.281250
7		-1406.250000		-13.281250
8		-1406.250000		-14.843750
9		-1406.250000		-10.156250
10		-1406.250000		-4.687500
11		-1406.250000		3.906250
12		-1406.250000		9.375000
13		-1406.250000		18.750000
14		-1406.250000		23.437500
15		-1406.250000		28.125000
16		-1406.250000		28.906250
17		-1406.250000		27.343750
18		-1406.250000		21.093750
19		-1406.250000		17.187500
20		-1406.250000		11.718750
21		-1406.250000		7.031250
22		-1406.250000		2.343750
23		-1406.250000		0.781250
24		-1406.250000		0.000000
25		-1406.250000		1.562500
26		-1406.250000		4.687500
27		-1406.250000		9.375000
28		-1406.250000		10.937500
29		-1406.250000		13.281250
30		-1406.250000		13.281250
31		-1406.250000		10.937500
32		-1406.250000		3.906250
33		-1406.250000		-1.562500
34		-1406.250000		-8.593750
35		-1406.250000		-13.281250
36		-1406.250000		-15.625000
37		-1406.250000		-13.281250
38		-1406.250000		-12.500000
39		-1406.250000		-9.375000
40		-1406.250000		-5.468750
41		-1406.250000		0.000000
42		-1406.250000		1.562500
43		-1406.250000		5.468750
44		-1406.250000		5.468750
45		-1406.250000		5.468750
46		-1406.250000		3.125000
47		-1406.250000		3.125000
48		-1406.250000		-0.781250
49		-1406.250000		-3.125000
50		-1406.250000		-5.468750
51		-1406.250000		-3.125000
52		-1406.250000		-3.906250
53		-1406.250000		0.000000
54		-1406.250000		0.781250
55		-1406.250000		3.125000
56		-1406.250000		3.906250
57		-1406.250000		7.812500
58		-1406.250000		5.468750
59		-1406.250000		3.906250
60		-1406.250000		1.562500
61		-1406.250000		0.781250
62		-1406.250000		-3.906250
63		-1406.250000		-5.468750
64		-1406.250000		-7.812500
65		-1406.250000		-5.468750
66		-1406.250000		-3.125000
67		-1406.250000		2.343750
68		-1406.250000		4.687500
69		-1406.250000		7.031250
70		-1406.250000		7.031250
71		-1406.250000		7.031250
72		-1406.250000		3.906250
73		-1406.250000		5.468750
74		-1406.250000		5.468750
75		-1406.250000		7.812500
76		-1406.250000		8.593750
77		-1406.250000		10.156250
78		-1406.250000		8.593750
79		-1406.250000		7.031250
80		-1406.250000		7.031250
81		-1406.250000		7.031250
82		-1406.250000		3.906250
83		-1406.250000		1.562500
84		-1406.250000		-1.562500
85		-1406.250000		-3.125000
86		-1406.250000		-6.250000
87		-1406.250000		-5.468750
88		-1406.250000		-5.468750
89		-1406.250000		-3.906250
90		-1406.250000		-3.125000
91		-1406.250000		-0.781250
92		-1406.250000		-1.562500
93		-1406.250000		-0.781250
94		-1406.250000		0.000000
95		-1406.250000		3.125000
96		-1406.250000		3.125000
97		-1406.250000		7.031250
98		-1406.250000		8.593750
99		-1406.250000		11.718750
100		-1406.250000		11.718750
101		-1406.250000		14.062500
102		-1406.250000		13.281250
103		-1406.250000		13.281250
104		-1406.250000		10.937500
105		-1406.250000		9.375000
106		-1406.250000		2.343750
107		-1406.250000		2.343750
108		-1406.250000		0.000000
109		-1406.250000		0.781250
110		-1406.250000		-0.781250
111		-1406.250000		1.562500
112		-1406.250000		-0.781250
113		-1406.250000		-0.781250
114		-1406.250000		-3.125000
115		-1406.250000		-4.687500
116		-1406.250000		-7.031250
117		-1406.250000		-4.687500
118		-1406.250000		-3.125000
119		-1406.250000		0.781250
120		-1406.250000		4.687500
121		-1406.250000		10.937500
122		-1406.250000		13.281250
123		-1406.250000		15.625000
124		-1406.250000		14.843750
125		-1406.250000		15.625000
126		-1406.250000		13.281250
127		-1406.250000		14.062500
128		-1406.250000		13.281250
129		-1406.250000		12.500000
130		-1406.250000		10.937500
131		-1406.250000		10.156250
132		-1406.250000		5.468750
133		-1406.250000		0.781250
134		-1406.250000		-1.562500
135		-1406.250000		-4.687500
136		-1406.250000		-5.468750
137		-1406.250000		-5.468750
138		-1406.250000		-3.906250
139		-1406.250000		0.000000
140		-1406.250000		0.781250
141		-1406.250000		3.125000
142		-1406.250000		2.343750
143		-1406.250000		3.125000
144		-1406.250000		1.562500
145		-1406.250000		1.562500
146		-1406.250000		-0.781250
147		-1406.250000		0.781250
148		-1406.250000		2.343750
149		-1406.250000		5.468750
150		-1406.250000		7.031250
151		-1406.250000		14.062500
152		-1406.250000		20.312500
153		-1406.250000		27.343750
154		-1406.250000		28.906250
155		-1406.250000		31.250000
156		-1406.250000		28.125000
157		-1406.250000		24.218750
158		-1406.250000		15.625000
159		-1406.250000		7.812500
160		-1406.250000		-3.906250
161		-1406.250000		-9.375000
162		-1406.250000		-17.187500
163		-1406.250000		-21.875000
164		-1406.250000		-24.218750
165		-1406.250000		-21.093750
166		-1406.250000		-20.312500
167		-1406.250000		-14.843750
168		-1406.250000		-9.375000
169		-1406.250000		-3.125000
170		-1406.250000		-1.562500
171		-1406.250000		1.562500
172		-1406.250000		0.781250
173		-1406.250000		0.000000
174		-1406.250000		-1.562500
175		-1406.250000		0.000000
176		-1406.250000		-1.562500
177		-1406.250000		0.000000
178		-1406.250000		1.562500
179		-1406.250000		3.906250
180		-1406.250000		6.250000
181		-1406.250000		11.718750
182		-1406.250000		15.625000
183		-1406.250000		17.187500
184		-1406.250000		17.187500
185		-1406.250000		17.968750
186		-1406.250000		14.843750
187		-1406.250000		10.156250
188		-1406.250000		7.031250
189		-1406.250000		2.343750
190		-1406.250000		-1.562500
191		-1406.250000		-1.562500
192		-1406.250000		-1.562500
193		-1406.250000		-2.343750
194		-1406.250000		-0.781250
195		-1406.250000		4.687500
196		-1406.250000		7.031250
197		-1406.250000		10.156250
198		-1406.250000		11.718750
199		-1406.250000		14.062500
200		-1406.250000		10.937500
201		-1406.250000		7.812500
202		-1406.250000		1.562500
203		-1406.250000		-4.687500
204		-1406.250000		-10.937500
205		-1406.250000		-14.062500
206		-1406.250000		-17.187500
207		-1406.250000		-16.406250
208		-1406.250000		-14.062500
209		-1406.250000		-7.812500
210		-1406.250000		-3.906250
211		-1406.250000		1.562500
212		-1406.250000		6.250000
213		-1406.250000		10.156250
214		-1406.250000		10.156250
215		-1406.250000		12.500000
216		-1406.250000		9.375000
217		-1406.250000		5.468750
218		-1406.250000		-0.781250
219		-1406.250000		-3.906250
220		-1406.250000		-8.593750
221		-1406.250000		-8.593750
222		-1406.250000		-7.812500
223		-1406.250000		-5.468750
224		-1406.250000		-3.125000
225		-1406.250000		2.343750
226		-1406.250000		3.906250
227		-1406.250000		6.250000
228		-1406.250000		9.375000
229		-1406.250000		13.281250
230		-1406.250000		13.281250
231		-1406.250000		12.500000
232		-1406.250000		10.156250
233		-1406.250000		8.593750
234		-1406.250000		7.812500
235		-1406.250000		10.156250
236		-1406.250000		13.281250
237		-1406.250000		15.625000
238		-1406.250000		17.968750
239		-1406.250000		15.625000
240		-1406.250000		11.718750
241		-1406.250000		7.812500
242		-1406.250000		4.687500
243		-1406.250000		0.781250
244		-1406.250000		-3.906250
245		-1406.250000		-5.468750
246		-1406.250000		-8.593750
247		-1406.250000		-12.500000
248		-1406.250000		-15.625000
249		-1406.250000		-15.625000
250		-1406.250000		-17.968750
251		-1406.250000		-17.187500
252		-1406.250000		-14.843750
253		-1406.250000		-10.937500
254		-1406.250000		-7.812500
255		-1406.250000		0.000000
256		-1406.250000		5.468750
257		-1406.250000		12.500000
258		-1406.250000		18.750000
259		-1406.250000		24.218750
260		-1406.250000		23.437500
261		-1406.250000		21.875000
262		-1406.250000		17.968750
263		-1406.250000		14.843750
264		-1406.250000		9.375000
265		-1406.250000		7.812500
266		-1406.250000		5.468750
267		-1406.250000		4.687500
268		-1406.250000		3.125000
269		-1406.250000		4.687500
270		-1406.250000		1.562500
271		-1406.250000		1.562500
272		-1406.250000		0.781250
273		-1406.250000		1.562500
274		-1406.250000		-0.781250
275		-1406.250000		0.000000
276		-1406.250000		-2.343750
277		-1406.250000		-4.687500
278		-1406.250000		-7.031250
279		-1406.250000		-7.812500
280		-1406.250000		-11.718750
281		-1406.250000		-11.718750
282		-1406.250000		-12.500000
283		-1406.250000		-12.500000
284		-1406.250000		-10.937500
285		-1406.250000		-6.250000
286		-1406.250000		-2.343750
287		-1406.250000		-1.562500
288		-1406.250000		1.562500
289		-1406.250000		3.906250
290		-1406.250000		4.687500
291		-1406.250000		6.250000
292		-1406.250000		8.593750
293		-1406.250000		9.375000
294		-1406.250000		11.718750
295		-1406.250000		14.843750
296		-1406.250000		17.187500
297		-1406.250000		17.968750
298		-1406.250000		18.750000
299		-1406.250000		19.531250
300		-1406.250000		16.406250
301		-1406.250000		13.281250
302		-1406.250000		8.593750
303		-1406.250000		4.687500
304		-1406.250000		-1.562500
305		-1406.250000		-4.687500
306		-1406.250000		-8.593750
307		-1406.250000		-10.937500
308		-1406.250000		-13.281250
309		-1406.250000		-11.718750
310		-1406.250000		-14.062500
311		-1406.250000		-12.500000
312		-1406.250000		-11.718750
313		-1406.250000		-7.812500
314		-1406.250000		-8.593750
315		-1406.250000		-5.468750
316		-1406.250000		-3.906250
317		-1406.250000		-0.781250
318		-1406.250000		2.343750
319		-1406.250000		10.156250
320		-1406.250000		15.625000
321		-1406.250000		23.437500
322		-1406.250000		28.906250
323		-1406.250000		35.156250
324		-1406.250000		35.156250
325		-1406.250000		36.718750
326		-1406.250000		32.812500
327		-1406.250000		26.562500
328		-1406.250000		17.187500
329		-1406.250000		9.375000
330		-1406.250000		-1.562500
331		-1406.250000		-10.156250
332		-1406.250000		-16.406250
333		-1406.250000		-21.875000
334		-1406.250000		-23.437500
335		-1406.250000		-23.437500
336		-1406.250000		-25.781250
337		-1406.250000		-27.343750
338		-1406.250000		-26.562500
339		-1406.250000		-23.437500
340		-1406.250000		-21.875000
341		-1406.250000		-17.968750
342		-1406.250000		-11.718750
343		-1406.250000		-4.687500
344		-1406.250000		0.781250
345		-1406.250000		7.031250
346		-1406.250000		11.718750
347		-1406.250000		14.843750
348		-1406.250000		17.968750
349		-1406.250000		21.875000
350		-1406.250000		21.093750
351		-1406.250000		19.531250
352		-1406.250000		20.312500
