Channel              :		CH1		CH2
Frequency            :		  ?		34.57kHz
Period               :		  ?		28.923us
PK-PK                :		3.047V		74.22mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.048828mV
Time interval        :		0.40000uS		0.40000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
1		-1406.250000		-2.343750
2		-1406.250000		-2.343750
3		-1406.250000		-2.343750
4		-1406.250000		-2.343750
5		-1406.250000		-0.781250
6		-1406.250000		1.562500
7		-1406.250000		3.125000
8		-1406.250000		4.687500
9		-1406.250000		8.593750
10		-1406.250000		10.937500
11		-1406.250000		11.718750
12		-1406.250000		15.625000
13		-1406.250000		17.187500
14		-1406.250000		18.750000
15		-1406.250000		21.875000
16		-1406.250000		22.656250
17		-1406.250000		21.875000
18		-1406.250000		22.656250
19		-1406.250000		24.218750
20		-1406.250000		23.437500
21		-1406.250000		23.437500
22		-1406.250000		25.000000
23		-1406.250000		24.218750
24		-1406.250000		23.437500
25		-1406.250000		23.437500
26		-1406.250000		21.875000
27		-1406.250000		19.531250
28		-1406.250000		18.750000
29		-1406.250000		16.406250
30		-1406.250000		12.500000
31		-1406.250000		10.156250
32		-1406.250000		9.375000
33		-1406.250000		6.250000
34		-1406.250000		3.906250
35		-1406.250000		2.343750
36		-1406.250000		0.000000
37		-1406.250000		-2.343750
38		-1406.250000		-3.125000
39		-1406.250000		-3.906250
40		-1406.250000		-6.250000
41		-1406.250000		-7.812500
42		-1406.250000		-7.031250
43		-1406.250000		-8.593750
44		-1406.250000		-10.156250
45		-1406.250000		-10.156250
46		-1406.250000		-10.937500
47		-1406.250000		-12.500000
48		-1406.250000		-11.718750
49		-1406.250000		-12.500000
50		-1406.250000		-14.843750
51		-1406.250000		-15.625000
52		-1406.250000		-16.406250
53		-1406.250000		-17.968750
54		-1406.250000		-19.531250
55		-1406.250000		-20.312500
56		-1406.250000		-21.093750
57		-1406.250000		-22.656250
58		-1406.250000		-21.875000
59		-1406.250000		-23.437500
60		-1406.250000		-23.437500
61		-1406.250000		-22.656250
62		-1406.250000		-22.656250
63		-1406.250000		-22.656250
64		-1406.250000		-21.875000
65		-1406.250000		-19.531250
66		-1406.250000		-17.968750
67		-1406.250000		-17.187500
68		-1406.250000		-15.625000
69		-1406.250000		-13.281250
70		-1406.250000		-13.281250
71		-1406.250000		-11.718750
72		-1406.250000		-9.375000
73		-1406.250000		-9.375000
74		-1406.250000		-7.812500
75		-1406.250000		-4.687500
76		-1406.250000		-3.125000
77		-1406.250000		-2.343750
78		-1406.250000		0.000000
79		-1406.250000		3.125000
80		-1406.250000		5.468750
81		-1406.250000		8.593750
82		-1406.250000		11.718750
83		-1406.250000		13.281250
84		-1406.250000		14.062500
85		-1406.250000		16.406250
86		-1406.250000		17.187500
87		-1406.250000		17.187500
88		-1406.250000		17.968750
89		-1406.250000		19.531250
90		-1406.250000		19.531250
91		-1406.250000		19.531250
92		-1406.250000		21.093750
93		-1406.250000		21.093750
94		-1406.250000		20.312500
95		-1406.250000		21.093750
96		-1406.250000		21.093750
97		-1406.250000		21.093750
98		-1406.250000		20.312500
99		-1406.250000		21.093750
100		-1406.250000		19.531250
101		-1406.250000		18.750000
102		-1406.250000		17.968750
103		-1406.250000		17.187500
104		-1406.250000		14.843750
105		-1406.250000		12.500000
106		-1406.250000		12.500000
107		-1406.250000		10.937500
108		-1406.250000		9.375000
109		-1406.250000		8.593750
110		-1406.250000		6.250000
111		-1406.250000		4.687500
112		-1406.250000		3.125000
113		-1406.250000		3.125000
114		-1406.250000		0.781250
115		-1406.250000		0.000000
116		-1406.250000		0.000000
117		-1406.250000		0.000000
118		-1406.250000		-3.125000
119		-1406.250000		-3.125000
120		-1406.250000		-3.125000
121		-1406.250000		-3.906250
122		-1406.250000		-3.906250
123		-1406.250000		-3.125000
124		-1406.250000		-3.125000
125		-1406.250000		-3.125000
126		-1406.250000		-2.343750
127		-1406.250000		-2.343750
128		-1406.250000		-2.343750
129		-1406.250000		-0.781250
130		-1406.250000		0.000000
131		-1406.250000		0.000000
132		-1406.250000		1.562500
133		-1406.250000		3.906250
134		-1406.250000		4.687500
135		-1406.250000		5.468750
136		-1406.250000		7.031250
137		-1406.250000		9.375000
138		-1406.250000		10.156250
139		-1406.250000		11.718750
140		-1406.250000		14.062500
141		-1406.250000		14.843750
142		-1406.250000		14.062500
143		-1406.250000		15.625000
144		-1406.250000		14.843750
145		-1406.250000		12.500000
146		-1406.250000		11.718750
147		-1406.250000		10.156250
148		-1406.250000		7.812500
149		-1406.250000		4.687500
150		-1406.250000		3.125000
151		-1406.250000		0.000000
152		-1406.250000		-3.906250
153		-1406.250000		-6.250000
154		-1406.250000		-8.593750
155		-1406.250000		-10.937500
156		-1406.250000		-13.281250
157		-1406.250000		-13.281250
158		-1406.250000		-14.843750
159		-1406.250000		-16.406250
160		-1406.250000		-16.406250
161		-1406.250000		-15.625000
162		-1406.250000		-15.625000
163		-1406.250000		-14.843750
164		-1406.250000		-12.500000
165		-1406.250000		-11.718750
166		-1406.250000		-10.937500
167		-1406.250000		-8.593750
168		-1406.250000		-7.812500
169		-1406.250000		-7.812500
170		-1406.250000		-6.250000
171		-1406.250000		-5.468750
172		-1406.250000		-6.250000
173		-1406.250000		-5.468750
174		-1406.250000		-4.687500
175		-1406.250000		-5.468750
176		-1406.250000		-7.031250
177		-1406.250000		-7.031250
178		-1406.250000		-7.031250
179		-1406.250000		-8.593750
180		-1406.250000		-10.156250
181		-1406.250000		-8.593750
182		-1406.250000		-9.375000
183		-1406.250000		-10.156250
184		-1406.250000		-8.593750
185		-1406.250000		-8.593750
186		-1406.250000		-8.593750
187		-1406.250000		-7.812500
188		-1406.250000		-5.468750
189		-1406.250000		-3.906250
190		-1406.250000		-3.125000
191		-1406.250000		0.000000
192		-1406.250000		3.125000
193		-1406.250000		3.125000
194		-1406.250000		5.468750
195		-1406.250000		7.812500
196		-1406.250000		8.593750
197		-1406.250000		10.156250
198		-1406.250000		12.500000
199		-1406.250000		14.062500
200		-1406.250000		14.843750
201		-1406.250000		15.625000
202		-1406.250000		16.406250
203		-1406.250000		15.625000
204		-1406.250000		14.843750
205		-1406.250000		14.843750
206		-1406.250000		14.843750
207		-1406.250000		13.281250
208		-1406.250000		12.500000
209		-1406.250000		12.500000
210		-1406.250000		10.156250
211		-1406.250000		8.593750
212		-1406.250000		7.031250
213		-1406.250000		7.031250
214		-1406.250000		4.687500
215		-1406.250000		3.906250
216		-1406.250000		3.906250
217		-1406.250000		2.343750
218		-1406.250000		0.781250
219		-1406.250000		0.000000
220		-1406.250000		-0.781250
221		-1406.250000		-2.343750
222		-1406.250000		-3.125000
223		-1406.250000		-3.125000
224		-1406.250000		-4.687500
225		-1406.250000		-6.250000
226		-1406.250000		-6.250000
227		-1406.250000		-7.031250
228		-1406.250000		-9.375000
229		-1406.250000		-10.156250
230		-1406.250000		-9.375000
231		-1406.250000		-10.937500
232		-1406.250000		-11.718750
233		-1406.250000		-10.937500
234		-1406.250000		-10.937500
235		-1406.250000		-11.718750
236		-1406.250000		-11.718750
237		-1406.250000		-11.718750
238		-1406.250000		-11.718750
239		-1406.250000		-12.500000
