Channel              :		CH1		CH2
Frequency            :		3.021kHz		3.017kHz
Period               :		0.331ms		0.331ms
PK-PK                :		5.391V		656.3mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.488281mV
Time interval        :		0.20000uS		0.20000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
1		2031.250000		625.000000
2		2031.250000		625.000000
3		2031.250000		625.000000
4		2031.250000		625.000000
5		2031.250000		625.000000
6		2031.250000		625.000000
7		2031.250000		625.000000
8		2031.250000		625.000000
9		2031.250000		625.000000
10		2031.250000		625.000000
11		2031.250000		625.000000
12		2031.250000		625.000000
13		2031.250000		625.000000
14		2031.250000		625.000000
15		2031.250000		625.000000
16		2031.250000		625.000000
17		2031.250000		625.000000
18		2031.250000		625.000000
19		2031.250000		625.000000
20		2031.250000		625.000000
21		2031.250000		625.000000
22		2031.250000		625.000000
23		2031.250000		617.187500
24		2031.250000		617.187500
25		2031.250000		617.187500
26		2031.250000		617.187500
27		2031.250000		617.187500
28		2031.250000		617.187500
29		2031.250000		617.187500
30		2031.250000		617.187500
31		2031.250000		617.187500
32		2031.250000		617.187500
33		2031.250000		617.187500
34		2031.250000		617.187500
35		2031.250000		617.187500
36		2031.250000		617.187500
37		2031.250000		617.187500
38		2031.250000		617.187500
39		2031.250000		617.187500
40		2031.250000		617.187500
41		2031.250000		617.187500
42		2031.250000		617.187500
43		2031.250000		617.187500
44		2031.250000		617.187500
45		2031.250000		617.187500
46		2031.250000		617.187500
47		2031.250000		617.187500
48		1953.125000		617.187500
49		2031.250000		617.187500
50		2031.250000		617.187500
51		2031.250000		617.187500
52		2031.250000		617.187500
53		2031.250000		617.187500
54		2031.250000		617.187500
55		2031.250000		617.187500
56		2031.250000		617.187500
57		2031.250000		617.187500
58		2031.250000		617.187500
59		2031.250000		617.187500
60		2031.250000		617.187500
61		2031.250000		617.187500
62		2031.250000		617.187500
63		2031.250000		617.187500
64		2031.250000		617.187500
65		2031.250000		617.187500
66		2031.250000		617.187500
67		2031.250000		617.187500
68		2031.250000		617.187500
69		2031.250000		617.187500
70		2031.250000		617.187500
71		2031.250000		617.187500
72		2031.250000		617.187500
73		2031.250000		609.375000
74		2031.250000		609.375000
75		2031.250000		609.375000
76		1953.125000		609.375000
77		2031.250000		609.375000
78		2031.250000		617.187500
79		2031.250000		609.375000
80		2031.250000		609.375000
81		2031.250000		609.375000
82		2031.250000		609.375000
83		2031.250000		609.375000
84		2031.250000		617.187500
85		2031.250000		609.375000
86		2031.250000		617.187500
87		2031.250000		609.375000
88		2031.250000		609.375000
89		2031.250000		609.375000
90		2031.250000		617.187500
91		2031.250000		609.375000
92		2031.250000		617.187500
93		2031.250000		617.187500
94		2031.250000		617.187500
95		2031.250000		617.187500
96		2031.250000		617.187500
97		2031.250000		617.187500
98		1953.125000		617.187500
99		2031.250000		617.187500
100		2031.250000		617.187500
101		2031.250000		617.187500
102		2031.250000		617.187500
103		2031.250000		617.187500
104		2031.250000		617.187500
105		2031.250000		617.187500
106		2031.250000		617.187500
107		2031.250000		617.187500
108		2031.250000		625.000000
109		2031.250000		625.000000
110		2031.250000		617.187500
111		2031.250000		625.000000
112		2031.250000		625.000000
113		2031.250000		625.000000
114		2031.250000		625.000000
115		2031.250000		625.000000
116		2031.250000		625.000000
117		2031.250000		625.000000
118		2031.250000		625.000000
119		2031.250000		625.000000
120		1953.125000		625.000000
121		2031.250000		625.000000
122		2031.250000		632.812500
123		2031.250000		625.000000
124		2031.250000		625.000000
125		2031.250000		632.812500
126		2031.250000		632.812500
127		2031.250000		632.812500
128		2031.250000		632.812500
129		2031.250000		632.812500
130		2031.250000		632.812500
131		2031.250000		632.812500
132		1953.125000		632.812500
133		2031.250000		632.812500
134		1953.125000		632.812500
135		-859.375000		632.812500
136		-2734.375000		632.812500
137		-3125.000000		632.812500
138		-3203.125000		632.812500
139		-3203.125000		632.812500
140		-3203.125000		625.000000
141		-3125.000000		617.187500
142		-3125.000000		617.187500
143		-3125.000000		601.562500
144		-3125.000000		593.750000
145		-3125.000000		578.125000
146		-3125.000000		570.312500
147		-3125.000000		562.500000
148		-3125.000000		554.687500
149		-3125.000000		539.062500
150		-3125.000000		531.250000
151		-3125.000000		515.625000
152		-3125.000000		507.812500
153		-3125.000000		492.187500
154		-3125.000000		484.375000
155		-3125.000000		468.750000
156		-3125.000000		460.937500
157		-3125.000000		453.125000
158		-3125.000000		437.500000
159		-3125.000000		429.687500
160		-3125.000000		421.875000
161		-3125.000000		414.062500
162		-3125.000000		406.250000
163		-3125.000000		390.625000
164		-3125.000000		382.812500
165		-3125.000000		375.000000
166		-3125.000000		367.187500
167		-3125.000000		359.375000
168		-3125.000000		351.562500
169		-3125.000000		343.750000
170		-3125.000000		335.937500
171		-3125.000000		328.125000
172		-3125.000000		320.312500
173		-3125.000000		312.500000
174		-3125.000000		304.687500
175		-3125.000000		296.875000
176		-3125.000000		296.875000
177		-3125.000000		289.062500
178		-3125.000000		281.250000
179		-3125.000000		273.437500
180		-3125.000000		265.625000
181		-3125.000000		257.812500
182		-3125.000000		257.812500
183		-3125.000000		250.000000
184		-3125.000000		250.000000
185		-3125.000000		242.187500
186		-3125.000000		234.375000
187		-3125.000000		226.562500
188		-3125.000000		226.562500
189		-3125.000000		218.750000
190		-3125.000000		218.750000
191		-3125.000000		210.937500
192		-3125.000000		210.937500
193		-3125.000000		203.125000
194		-3125.000000		203.125000
195		-3125.000000		195.312500
196		-3125.000000		187.500000
197		-3125.000000		187.500000
198		-3125.000000		187.500000
199		-3125.000000		179.687500
200		-3125.000000		179.687500
201		-3125.000000		171.875000
202		-3125.000000		171.875000
203		-3125.000000		164.062500
204		-3125.000000		164.062500
205		-3125.000000		164.062500
206		-3125.000000		164.062500
207		-3125.000000		156.250000
208		-3125.000000		156.250000
209		-3125.000000		148.437500
210		-3125.000000		148.437500
211		-3125.000000		148.437500
212		-3125.000000		148.437500
213		-3125.000000		140.625000
214		-3125.000000		140.625000
215		-3125.000000		140.625000
216		-3125.000000		132.812500
217		-3125.000000		132.812500
218		-3125.000000		132.812500
219		-3125.000000		125.000000
220		-3125.000000		125.000000
221		-3125.000000		125.000000
222		-3125.000000		125.000000
223		-3125.000000		117.187500
224		-3125.000000		117.187500
225		-3125.000000		117.187500
226		-3125.000000		109.375000
227		-3125.000000		109.375000
228		-3125.000000		109.375000
229		-3125.000000		101.562500
230		-3125.000000		101.562500
231		-3125.000000		93.750000
232		-3125.000000		93.750000
233		-3125.000000		93.750000
234		-3125.000000		93.750000
235		-3125.000000		85.937500
236		-3125.000000		85.937500
237		-3125.000000		78.125000
238		-3125.000000		78.125000
239		-3125.000000		70.312500
240		-3125.000000		70.312500
241		-3125.000000		70.312500
242		-3125.000000		70.312500
243		-3125.000000		62.500000
244		-3125.000000		62.500000
245		-3125.000000		62.500000
246		-3125.000000		54.687500
247		-3125.000000		54.687500
248		-3125.000000		54.687500
249		-3125.000000		46.875000
250		-3125.000000		46.875000
251		-3125.000000		46.875000
252		-3125.000000		46.875000
253		-3125.000000		39.062500
254		-3125.000000		39.062500
255		-3125.000000		39.062500
256		-3125.000000		39.062500
257		-3125.000000		39.062500
258		-3125.000000		39.062500
259		-3125.000000		39.062500
260		-3125.000000		39.062500
261		-3125.000000		39.062500
262		-3125.000000		39.062500
263		-3125.000000		39.062500
264		-3125.000000		39.062500
265		-3125.000000		39.062500
266		-3125.000000		39.062500
267		-3125.000000		39.062500
268		-3125.000000		46.875000
269		-3125.000000		46.875000
270		-3125.000000		46.875000
271		-3125.000000		46.875000
272		-3125.000000		46.875000
273		-3125.000000		54.687500
274		-3125.000000		54.687500
275		-3125.000000		54.687500
276		-3125.000000		54.687500
277		-3125.000000		54.687500
278		-3125.000000		54.687500
279		-3125.000000		54.687500
280		-3125.000000		62.500000
281		-3125.000000		54.687500
282		-3125.000000		54.687500
283		-3125.000000		54.687500
284		-3125.000000		54.687500
285		-3125.000000		54.687500
286		-3125.000000		54.687500
287		-3125.000000		54.687500
288		-3125.000000		54.687500
289		-3125.000000		54.687500
290		-3125.000000		54.687500
291		-3125.000000		54.687500
292		-3125.000000		46.875000
293		-3125.000000		46.875000
294		-3125.000000		46.875000
295		-3125.000000		46.875000
296		-3125.000000		46.875000
297		-3125.000000		39.062500
298		-3125.000000		39.062500
299		-3125.000000		39.062500
300		-3125.000000		31.250000
301		-3125.000000		31.250000
302		-3125.000000		31.250000
303		-3125.000000		23.437500
304		-3125.000000		23.437500
305		-3125.000000		23.437500
306		-3125.000000		23.437500
307		-3125.000000		15.625000
308		-3125.000000		15.625000
309		-3125.000000		15.625000
310		-3125.000000		7.812500
311		-3125.000000		7.812500
312		-3125.000000		7.812500
313		-3125.000000		7.812500
314		-3125.000000		7.812500
315		-3125.000000		7.812500
316		-3125.000000		0.000000
317		-3125.000000		0.000000
318		-3125.000000		0.000000
319		-3125.000000		0.000000
320		-3125.000000		0.000000
321		-3125.000000		0.000000
322		-3125.000000		0.000000
323		-3125.000000		0.000000
324		-3125.000000		0.000000
325		-3125.000000		0.000000
326		-3125.000000		0.000000
327		-3125.000000		0.000000
328		-3125.000000		7.812500
329		-3125.000000		0.000000
330		-3125.000000		7.812500
331		-3125.000000		7.812500
332		-3125.000000		7.812500
333		-3125.000000		7.812500
334		-3125.000000		7.812500
335		-3125.000000		7.812500
336		-3125.000000		15.625000
337		-3125.000000		15.625000
338		-3125.000000		15.625000
339		-3125.000000		15.625000
340		-3125.000000		15.625000
341		-3125.000000		15.625000
342		-3125.000000		15.625000
343		-3125.000000		15.625000
344		-3125.000000		23.437500
345		-3125.000000		15.625000
346		-3125.000000		23.437500
347		-3125.000000		23.437500
348		-3125.000000		23.437500
349		-3125.000000		23.437500
350		-3125.000000		23.437500
351		-3125.000000		23.437500
352		-3125.000000		23.437500
353		-3125.000000		23.437500
354		-3125.000000		23.437500
355		-3125.000000		23.437500
356		-3125.000000		23.437500
357		-3125.000000		23.437500
358		-3125.000000		23.437500
359		-3125.000000		23.437500
360		-3125.000000		23.437500
361		-3125.000000		15.625000
362		-3125.000000		15.625000
363		-3125.000000		15.625000
364		-3125.000000		15.625000
365		-3125.000000		15.625000
366		-3125.000000		15.625000
367		-3125.000000		15.625000
368		-3125.000000		15.625000
369		-3125.000000		15.625000
370		-3125.000000		15.625000
371		-3125.000000		15.625000
372		-3125.000000		15.625000
373		-3125.000000		15.625000
374		-3125.000000		15.625000
375		-3125.000000		7.812500
376		-3125.000000		7.812500
377		-3125.000000		7.812500
378		-3125.000000		15.625000
379		-3125.000000		15.625000
380		-3125.000000		15.625000
381		-3125.000000		15.625000
382		-3125.000000		15.625000
383		-3125.000000		15.625000
384		-3125.000000		15.625000
385		-3125.000000		15.625000
386		-3125.000000		15.625000
387		-3125.000000		15.625000
388		-3125.000000		15.625000
389		-3125.000000		15.625000
