Channel              :		CH1		CH2
Frequency            :		1.381kHz		  ?
Period               :		0.724ms		  ?
PK-PK                :		703.1mV		5.469mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.012207mV
Time interval        :		0.20000uS		0.20000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
235		-312.500000		2.343750
236		-312.500000		2.343750
237		-312.500000		1.367188
238		-312.500000		1.757813
239		-312.500000		1.367188
240		-312.500000		1.367188
241		-312.500000		2.148438
242		-312.500000		2.148438
243		-312.500000		2.148438
244		-312.500000		1.953125
245		-312.500000		1.562500
246		-312.500000		1.757813
247		-312.500000		1.562500
248		-312.500000		1.953125
249		-312.500000		1.171875
250		-312.500000		2.343750
251		-312.500000		1.367188
252		-312.500000		2.148438
253		-312.500000		1.367188
254		-312.500000		1.757813
255		-312.500000		1.953125
256		-312.500000		1.953125
257		-312.500000		2.539063
258		-312.500000		1.953125
259		-312.500000		1.562500
260		-312.500000		1.367188
261		-312.500000		1.171875
262		-312.500000		2.148438
263		-312.500000		1.757813
264		-312.500000		2.734375
265		-312.500000		1.367188
266		-312.500000		2.539063
267		-312.500000		0.976563
268		-312.500000		1.757813
269		-312.500000		1.562500
270		-312.500000		2.343750
271		-312.500000		2.148438
272		-312.500000		2.148438
273		-312.500000		1.953125
274		-312.500000		1.562500
275		-312.500000		1.367188
276		-312.500000		1.757813
277		-312.500000		2.343750
278		-312.500000		3.320313
279		-312.500000		1.757813
280		-312.500000		2.539063
281		-312.500000		0.976563
282		-312.500000		1.953125
283		-312.500000		1.171875
284		-312.500000		2.343750
285		-312.500000		1.953125
286		-312.500000		2.539063
287		-312.500000		1.757813
288		-312.500000		1.953125
289		-312.500000		1.367188
290		-312.500000		1.757813
291		-312.500000		1.562500
292		-312.500000		2.734375
293		-312.500000		1.757813
294		-312.500000		2.148438
295		-312.500000		0.390625
296		-312.500000		1.757813
297		-312.500000		0.976563
298		-312.500000		2.539063
299		-312.500000		1.757813
300		-312.500000		2.734375
301		-312.500000		1.562500
302		-312.500000		2.148438
303		-312.500000		1.367188
304		-312.500000		1.367188
305		-312.500000		1.367188
306		-312.500000		2.343750
307		-312.500000		1.757813
308		-312.500000		2.734375
309		-312.500000		1.171875
310		-312.500000		2.148438
311		-312.500000		0.976563
312		-312.500000		2.539063
313		-312.500000		1.367188
314		-312.500000		3.125000
315		-312.500000		1.562500
316		-312.500000		2.148438
317		-312.500000		1.171875
318		-312.500000		1.562500
319		-312.500000		1.953125
320		-312.500000		2.343750
321		-312.500000		1.171875
322		-312.500000		2.148438
323		-312.500000		1.367188
324		-312.500000		1.953125
325		-312.500000		0.585938
326		-312.500000		1.953125
327		-312.500000		0.976563
328		-312.500000		2.734375
329		-312.500000		1.367188
330		-312.500000		2.929688
331		-312.500000		1.367188
332		-312.500000		1.757813
333		-312.500000		1.171875
334		-312.500000		1.757813
335		-312.500000		1.562500
336		-312.500000		2.539063
337		-312.500000		1.757813
338		-312.500000		2.539063
339		-312.500000		1.562500
340		-312.500000		2.148438
341		-312.500000		0.976563
342		-312.500000		2.343750
343		-312.500000		1.562500
344		-312.500000		2.929688
345		-312.500000		0.976563
346		-312.500000		2.148438
347		-312.500000		0.585938
348		-312.500000		1.562500
349		-312.500000		1.367188
350		-312.500000		2.148438
351		-312.500000		1.562500
352		-312.500000		2.539063
353		-312.500000		1.171875
354		-312.500000		1.562500
355		-312.500000		0.781250
356		-312.500000		1.953125
