Channel,CH1,CH2
Frequency            :,  ?,34.44kHz
Period               :,  ?,29.040us
PK-PK                :,3.047V,71.88mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.048828mV
Time interval        :,0.40000uS,0.40000uS
index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-1406.250000,1.562500
2,-1406.250000,1.562500
3,-1406.250000,2.343750
4,-1406.250000,1.562500
5,-1406.250000,1.562500
6,-1406.250000,2.343750
7,-1406.250000,2.343750
8,-1406.250000,2.343750
9,-1406.250000,2.343750
10,-1406.250000,3.906250
11,-1406.250000,4.687500
12,-1406.250000,3.906250
13,-1406.250000,3.125000
14,-1406.250000,4.687500
15,-1406.250000,4.687500
16,-1406.250000,3.125000
17,-1406.250000,3.125000
18,-1406.250000,4.687500
19,-1406.250000,3.906250
20,-1406.250000,3.125000
21,-1406.250000,2.343750
22,-1406.250000,2.343750
23,-1406.250000,0.781250
24,-1406.250000,0.000000
25,-1406.250000,0.000000
26,-1406.250000,0.781250
27,-1406.250000,0.781250
28,-1406.250000,0.000000
29,-1406.250000,0.000000
30,-1406.250000,0.000000
31,-1406.250000,-0.781250
32,-1406.250000,-0.781250
33,-1406.250000,0.000000
34,-1406.250000,0.781250
35,-1406.250000,0.000000
36,-1406.250000,0.781250
37,-1406.250000,2.343750
38,-1406.250000,3.125000
39,-1406.250000,3.125000
40,-1406.250000,3.125000
41,-1406.250000,3.906250
42,-1406.250000,5.468750
43,-1406.250000,4.687500
44,-1406.250000,6.250000
45,-1406.250000,7.812500
46,-1406.250000,8.593750
47,-1406.250000,7.812500
48,-1406.250000,8.593750
49,-1406.250000,8.593750
50,-1406.250000,8.593750
51,-1406.250000,8.593750
52,-1406.250000,9.375000
53,-1406.250000,10.156250
54,-1406.250000,9.375000
55,-1406.250000,7.812500
56,-1406.250000,7.812500
57,-1406.250000,7.031250
58,-1406.250000,4.687500
59,-1406.250000,3.125000
60,-1406.250000,2.343750
61,-1406.250000,1.562500
62,-1406.250000,0.000000
63,-1406.250000,-0.781250
64,-1406.250000,-0.781250
65,-1406.250000,-3.125000
66,-1406.250000,-4.687500
67,-1406.250000,-4.687500
68,-1406.250000,-4.687500
69,-1406.250000,-6.250000
70,-1406.250000,-6.250000
71,-1406.250000,-5.468750
72,-1406.250000,-5.468750
73,-1406.250000,-5.468750
74,-1406.250000,-5.468750
75,-1406.250000,-4.687500
76,-1406.250000,-3.906250
77,-1406.250000,-4.687500
78,-1406.250000,-3.125000
79,-1406.250000,-2.343750
80,-1406.250000,-2.343750
81,-1406.250000,-2.343750
82,-1406.250000,-0.781250
83,-1406.250000,-0.781250
84,-1406.250000,-1.562500
85,-1406.250000,-0.781250
86,-1406.250000,0.781250
87,-1406.250000,0.781250
88,-1406.250000,0.000000
89,-1406.250000,1.562500
90,-1406.250000,1.562500
91,-1406.250000,0.000000
92,-1406.250000,0.000000
93,-1406.250000,0.000000
94,-1406.250000,-0.781250
95,-1406.250000,-2.343750
96,-1406.250000,-0.781250
97,-1406.250000,0.000000
98,-1406.250000,-0.781250
99,-1406.250000,-0.781250
100,-1406.250000,0.000000
101,-1406.250000,0.000000
102,-1406.250000,-0.781250
103,-1406.250000,0.781250
104,-1406.250000,2.343750
105,-1406.250000,3.125000
106,-1406.250000,4.687500
107,-1406.250000,7.031250
108,-1406.250000,7.812500
109,-1406.250000,8.593750
110,-1406.250000,10.937500
111,-1406.250000,12.500000
112,-1406.250000,12.500000
113,-1406.250000,13.281250
114,-1406.250000,14.843750
115,-1406.250000,14.843750
116,-1406.250000,13.281250
117,-1406.250000,14.062500
118,-1406.250000,14.062500
119,-1406.250000,11.718750
120,-1406.250000,11.718750
121,-1406.250000,11.718750
122,-1406.250000,10.156250
123,-1406.250000,8.593750
124,-1406.250000,8.593750
125,-1406.250000,6.250000
126,-1406.250000,3.125000
127,-1406.250000,1.562500
128,-1406.250000,0.781250
129,-1406.250000,-1.562500
130,-1406.250000,-2.343750
131,-1406.250000,-2.343750
132,-1406.250000,-3.906250
133,-1406.250000,-6.250000
