Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,703.1mV,4.688mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.012207mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-312.500000,1.367188
2,-312.500000,1.367188
3,-312.500000,2.343750
4,-312.500000,3.125000
5,-312.500000,2.734375
6,-312.500000,1.757813
7,-312.500000,0.976563
8,-312.500000,1.171875
9,-312.500000,2.148438
10,-312.500000,2.929688
11,-312.500000,2.929688
12,-312.500000,1.953125
13,-312.500000,0.976563
14,-312.500000,0.976563
15,-312.500000,1.757813
16,-312.500000,2.734375
17,-312.500000,2.734375
18,-312.500000,2.148438
19,-312.500000,1.367188
20,-312.500000,0.976563
21,-312.500000,1.757813
22,-312.500000,2.539063
23,-312.500000,2.929688
24,-312.500000,2.539063
25,-312.500000,1.562500
26,-312.500000,1.171875
27,-312.500000,1.953125
28,-312.500000,2.539063
29,-312.500000,2.734375
30,-312.500000,2.343750
31,-312.500000,1.562500
32,-312.500000,1.171875
33,-312.500000,1.367188
34,-312.500000,1.953125
35,-312.500000,2.148438
36,-312.500000,1.953125
37,-312.500000,1.367188
38,-312.500000,0.976563
39,-312.500000,1.171875
40,-312.500000,1.367188
41,-312.500000,1.562500
42,-312.500000,1.757813
43,-312.500000,1.367188
44,-312.500000,0.585938
45,-312.500000,0.781250
46,-312.500000,1.171875
47,-312.500000,1.562500
48,-312.500000,1.367188
49,-312.500000,0.976563
50,-312.500000,0.976563
51,-312.500000,1.171875
52,-312.500000,1.171875
53,-312.500000,1.367188
54,-312.500000,1.171875
55,-312.500000,0.976563
56,-312.500000,0.976563
57,-312.500000,0.781250
58,-312.500000,0.976563
59,-312.500000,0.976563
60,-312.500000,0.976563
61,-312.500000,0.781250
62,-312.500000,0.781250
63,-312.500000,0.781250
64,-312.500000,0.781250
65,-312.500000,0.781250
66,-312.500000,0.781250
67,-312.500000,0.781250
68,-312.500000,0.585938
69,-312.500000,0.781250
70,-312.500000,0.976563
71,-312.500000,0.976563
72,-312.500000,0.585938
73,-312.500000,0.585938
74,-312.500000,0.781250
75,-312.500000,0.976563
76,-312.500000,1.171875
77,-312.500000,1.171875
78,-312.500000,0.976563
79,-312.500000,0.781250
80,-312.500000,0.976563
81,-312.500000,1.367188
82,-312.500000,1.367188
83,-312.500000,1.367188
84,-312.500000,0.781250
85,-312.500000,0.781250
86,-312.500000,0.976563
87,-312.500000,1.367188
88,-312.500000,1.757813
89,-312.500000,1.562500
90,-312.500000,1.171875
91,-312.500000,0.976563
92,-312.500000,1.171875
93,-312.500000,1.562500
94,-312.500000,1.953125
95,-312.500000,1.953125
96,-312.500000,1.562500
97,-312.500000,1.171875
98,-312.500000,1.367188
99,-312.500000,1.757813
100,-312.500000,2.343750
101,-312.500000,2.148438
102,-312.500000,1.562500
103,-312.500000,1.171875
104,-312.500000,1.367188
105,-312.500000,1.757813
106,-312.500000,2.343750
107,-312.500000,2.539063
108,-312.500000,1.953125
109,-312.500000,1.367188
110,-312.500000,1.562500
111,-312.500000,2.148438
112,-312.500000,2.343750
113,-312.500000,2.343750
114,-312.500000,2.148438
115,-312.500000,1.757813
116,-312.500000,1.562500
117,-312.500000,1.953125
118,-312.500000,2.343750
119,-312.500000,2.539063
120,-312.500000,2.148438
121,-312.500000,1.562500
122,-312.500000,1.562500
123,-312.500000,1.953125
124,-312.500000,2.148438
125,-312.500000,2.148438
126,-312.500000,1.953125
127,-312.500000,1.367188
128,-312.500000,1.367188
129,-312.500000,1.562500
130,-312.500000,1.953125
131,-312.500000,2.148438
132,-312.500000,1.953125
133,-312.500000,1.367188
134,-312.500000,1.562500
135,-312.500000,1.953125
136,-312.500000,2.148438
137,-312.500000,1.953125
138,-312.500000,1.757813
139,-312.500000,1.367188
140,-312.500000,1.367188
141,-312.500000,1.757813
142,-312.500000,1.953125
143,-312.500000,2.148438
144,-312.500000,1.757813
145,-312.500000,1.171875
146,-312.500000,1.171875
147,-312.500000,1.562500
148,-312.500000,1.953125
149,-312.500000,1.757813
150,-312.500000,1.171875
151,-312.500000,0.976563
152,-312.500000,0.976563
153,-312.500000,1.562500
154,-312.500000,1.953125
155,-312.500000,1.757813
156,-312.500000,1.171875
157,-312.500000,0.781250
158,-312.500000,0.781250
159,-312.500000,1.562500
160,-312.500000,1.953125
161,-312.500000,1.953125
162,-312.500000,1.367188
163,-312.500000,0.585938
164,-312.500000,0.390625
165,-312.500000,1.171875
166,-312.500000,1.953125
167,-312.500000,1.953125
168,-312.500000,1.171875
169,-312.500000,0.585938
170,-312.500000,0.195313
171,-312.500000,0.781250
172,-312.500000,1.953125
173,-312.500000,2.148438
174,-312.500000,1.367188
175,-312.500000,0.390625
176,-312.500000,0.195313
177,-312.500000,0.976563
178,-312.500000,1.562500
179,-312.500000,2.148438
180,-312.500000,1.757813
181,-312.500000,0.390625
182,-312.500000,0.000000
183,-312.500000,0.585938
184,-312.500000,1.953125
185,-312.500000,2.343750
186,-312.500000,1.757813
187,-312.500000,0.585938
188,-312.500000,-0.195313
189,-312.500000,0.390625
190,-312.500000,1.367188
191,-312.500000,2.343750
192,-312.500000,1.953125
193,-312.500000,0.781250
194,-312.500000,-0.195313
195,-312.500000,0.000000
196,-312.500000,1.367188
197,-312.500000,2.343750
198,-312.500000,2.148438
199,-312.500000,1.171875
200,-312.500000,-0.195313
201,-312.500000,0.000000
202,-312.500000,1.171875
203,-312.500000,2.148438
204,-312.500000,2.148438
205,-312.500000,1.171875
206,-312.500000,0.195313
207,-312.500000,0.000000
208,-312.500000,0.781250
209,-312.500000,2.148438
210,-312.500000,2.539063
211,-312.500000,1.562500
212,-312.500000,0.195313
213,-312.500000,-0.195313
214,-312.500000,0.585938
215,-312.500000,2.148438
216,-312.500000,2.539063
217,-312.500000,1.757813
218,-312.500000,0.585938
219,-312.500000,0.000000
220,-312.500000,0.585938
221,-312.500000,1.757813
222,-312.500000,2.734375
223,-312.500000,2.148438
224,-312.500000,0.781250
225,-312.500000,0.000000
226,-312.500000,0.390625
227,-312.500000,1.757813
228,-312.500000,2.343750
229,-312.500000,2.148438
230,-312.500000,0.976563
231,-312.500000,0.000000
232,-312.500000,0.195313
233,-312.500000,1.367188
234,-312.500000,2.148438
235,-312.500000,2.148438
236,-312.500000,1.171875
237,-312.500000,0.195313
238,-312.500000,0.390625
239,-312.500000,1.367188
240,-312.500000,2.343750
241,-312.500000,1.953125
242,-312.500000,1.367188
243,-312.500000,0.781250
244,-312.500000,0.781250
245,-312.500000,1.562500
246,-312.500000,2.343750
247,-312.500000,2.539063
248,-312.500000,1.757813
249,-312.500000,0.976563
250,-312.500000,0.976563
251,-312.500000,1.367188
252,-312.500000,2.343750
253,-312.500000,2.539063
254,-312.500000,1.953125
255,-312.500000,1.171875
256,-312.500000,0.781250
257,-312.500000,1.367188
258,-312.500000,2.148438
259,-312.500000,2.343750
260,-312.500000,1.757813
261,-312.500000,1.171875
262,-312.500000,0.976563
263,-312.500000,1.367188
264,-312.500000,2.343750
265,-312.500000,2.343750
266,-312.500000,1.953125
267,-312.500000,1.171875
268,-312.500000,0.976563
269,-312.500000,1.562500
270,-312.500000,2.343750
271,-312.500000,2.343750
272,-312.500000,1.953125
273,-312.500000,1.367188
274,-312.500000,1.171875
275,-312.500000,1.757813
276,-312.500000,2.343750
277,-312.500000,2.148438
278,-312.500000,1.953125
279,-312.500000,1.367188
280,-312.500000,1.171875
281,-312.500000,1.367188
282,-312.500000,2.148438
283,-312.500000,2.539063
284,-312.500000,1.953125
285,-312.500000,1.171875
286,-312.500000,0.976563
287,-312.500000,1.367188
288,-312.500000,1.953125
289,-312.500000,2.343750
290,-312.500000,1.953125
291,-312.500000,1.171875
292,-312.500000,0.781250
293,-312.500000,1.367188
294,-312.500000,1.757813
295,-312.500000,2.343750
296,-312.500000,1.953125
297,-312.500000,0.976563
298,-312.500000,0.585938
299,-312.500000,0.976563
300,-312.500000,1.562500
301,-312.500000,1.953125
302,-312.500000,1.562500
303,-312.500000,0.976563
304,-312.500000,0.585938
305,-312.500000,0.585938
306,-312.500000,1.367188
307,-312.500000,1.953125
308,-312.500000,1.562500
309,-312.500000,0.976563
310,-312.500000,0.390625
311,-312.500000,0.585938
312,-312.500000,1.171875
313,-312.500000,1.757813
314,-312.500000,1.953125
315,-312.500000,1.171875
316,-312.500000,0.390625
317,-312.500000,0.390625
318,-312.500000,1.171875
319,-312.500000,1.953125
320,-312.500000,1.953125
321,-312.500000,1.171875
322,-312.500000,0.585938
323,-312.500000,0.390625
324,-312.500000,0.976563
325,-312.500000,1.953125
326,-312.500000,1.953125
327,-312.500000,1.562500
328,-312.500000,0.781250
329,-312.500000,0.390625
330,-312.500000,0.781250
331,-312.500000,1.562500
332,-312.500000,1.953125
333,-312.500000,1.562500
334,-312.500000,0.781250
335,-312.500000,0.585938
336,-312.500000,0.781250
337,-312.500000,1.562500
338,-312.500000,1.757813
339,-312.500000,1.562500
340,-312.500000,0.976563
341,-312.500000,0.585938
342,-312.500000,0.781250
343,-312.500000,1.171875
344,-312.500000,1.562500
345,-312.500000,1.757813
346,-312.500000,1.171875
347,-312.500000,0.781250
348,-312.500000,0.781250
