Channel              :,CH1,CH2
Frequency            :,3.021kHz,3.021kHz
Period               :,0.331ms,0.331ms
PK-PK                :,5.313V,632.8mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.488281mV
Time interval        :,0.20000uS,0.20000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
210,-3125.000000,132.812500
211,-3125.000000,125.000000
212,-3125.000000,125.000000
213,-3125.000000,125.000000
214,-3125.000000,117.187500
215,-3125.000000,117.187500
216,-3125.000000,109.375000
217,-3125.000000,109.375000
218,-3125.000000,109.375000
219,-3125.000000,109.375000
220,-3125.000000,101.562500
221,-3125.000000,101.562500
222,-3125.000000,93.750000
223,-3125.000000,93.750000
224,-3125.000000,93.750000
225,-3125.000000,93.750000
226,-3125.000000,85.937500
227,-3125.000000,85.937500
228,-3125.000000,85.937500
229,-3125.000000,85.937500
230,-3125.000000,78.125000
231,-3125.000000,78.125000
232,-3125.000000,78.125000
233,-3125.000000,78.125000
234,-3125.000000,70.312500
235,-3125.000000,70.312500
236,-3125.000000,70.312500
237,-3125.000000,70.312500
238,-3125.000000,70.312500
239,-3125.000000,70.312500
240,-3125.000000,70.312500
241,-3125.000000,62.500000
242,-3125.000000,62.500000
243,-3125.000000,62.500000
244,-3125.000000,62.500000
245,-3125.000000,62.500000
246,-3125.000000,62.500000
247,-3125.000000,54.687500
248,-3125.000000,54.687500
249,-3125.000000,54.687500
250,-3125.000000,54.687500
251,-3125.000000,54.687500
252,-3125.000000,54.687500
253,-3125.000000,54.687500
254,-3125.000000,54.687500
255,-3125.000000,54.687500
256,-3125.000000,54.687500
257,-3125.000000,54.687500
258,-3125.000000,54.687500
259,-3125.000000,54.687500
260,-3125.000000,54.687500
261,-3125.000000,54.687500
262,-3125.000000,54.687500
263,-3125.000000,54.687500
264,-3125.000000,46.875000
265,-3125.000000,54.687500
266,-3125.000000,54.687500
267,-3125.000000,46.875000
268,-3125.000000,46.875000
269,-3125.000000,46.875000
270,-3125.000000,46.875000
271,-3125.000000,46.875000
272,-3125.000000,46.875000
273,-3125.000000,46.875000
274,-3125.000000,46.875000
275,-3125.000000,46.875000
276,-3125.000000,46.875000
277,-3125.000000,46.875000
278,-3125.000000,46.875000
279,-3125.000000,46.875000
280,-3125.000000,46.875000
281,-3125.000000,46.875000
282,-3125.000000,46.875000
283,-3125.000000,46.875000
284,-3125.000000,46.875000
285,-3125.000000,46.875000
286,-3125.000000,46.875000
287,-3125.000000,46.875000
288,-3125.000000,46.875000
289,-3125.000000,46.875000
290,-3125.000000,39.062500
291,-3125.000000,39.062500
292,-3125.000000,39.062500
293,-3125.000000,39.062500
294,-3125.000000,39.062500
295,-3125.000000,39.062500
296,-3125.000000,39.062500
297,-3125.000000,39.062500
298,-3125.000000,39.062500
299,-3125.000000,39.062500
300,-3125.000000,31.250000
301,-3125.000000,39.062500
302,-3125.000000,31.250000
303,-3125.000000,39.062500
304,-3125.000000,31.250000
305,-3125.000000,31.250000
306,-3125.000000,31.250000
307,-3125.000000,31.250000
308,-3125.000000,31.250000
309,-3125.000000,31.250000
310,-3125.000000,31.250000
311,-3125.000000,31.250000
312,-3125.000000,31.250000
313,-3125.000000,31.250000
314,-3125.000000,31.250000
315,-3125.000000,23.437500
316,-3125.000000,23.437500
317,-3125.000000,23.437500
318,-3125.000000,23.437500
319,-3125.000000,23.437500
320,-3125.000000,23.437500
321,-3125.000000,23.437500
322,-3125.000000,23.437500
323,-3125.000000,23.437500
324,-3125.000000,23.437500
325,-3125.000000,23.437500
326,-3125.000000,15.625000
327,-3125.000000,15.625000
328,-3125.000000,15.625000
329,-3125.000000,15.625000
330,-3125.000000,15.625000
331,-3125.000000,15.625000
332,-3125.000000,15.625000
333,-3125.000000,15.625000
334,-3125.000000,15.625000
335,-3125.000000,15.625000
336,-3125.000000,7.812500
337,-3125.000000,15.625000
338,-3125.000000,7.812500
339,-3125.000000,7.812500
340,-3125.000000,7.812500
341,-3125.000000,7.812500
342,-3125.000000,7.812500
343,-3125.000000,7.812500
344,-3125.000000,7.812500
345,-3125.000000,7.812500
346,-3125.000000,7.812500
347,-3125.000000,7.812500
348,-3125.000000,7.812500
349,-3125.000000,7.812500
350,-3125.000000,0.000000
351,-3125.000000,7.812500
352,-3125.000000,0.000000
353,-3125.000000,7.812500
354,-3125.000000,0.000000
355,-3125.000000,0.000000
356,-3125.000000,0.000000
357,-3125.000000,0.000000
358,-3125.000000,0.000000
359,-3125.000000,0.000000
360,-3125.000000,0.000000
361,-3125.000000,0.000000
362,-3125.000000,0.000000
363,-3125.000000,0.000000
364,-3125.000000,0.000000
365,-3125.000000,7.812500
366,-3125.000000,7.812500
367,-3125.000000,7.812500
368,-3125.000000,7.812500
369,-3125.000000,7.812500
370,-3125.000000,7.812500
371,-3125.000000,7.812500
372,-3125.000000,7.812500
373,-3125.000000,7.812500
374,-3125.000000,7.812500
375,-3125.000000,7.812500
376,-3125.000000,7.812500
377,-3125.000000,7.812500
378,-3125.000000,7.812500
379,-3125.000000,7.812500
380,-3125.000000,15.625000
381,-3125.000000,7.812500
382,-3125.000000,7.812500
383,-3125.000000,15.625000
384,-3125.000000,15.625000
385,-3125.000000,15.625000
386,-3125.000000,15.625000
387,-3125.000000,15.625000
388,-3125.000000,15.625000
389,-3125.000000,15.625000
390,-3125.000000,15.625000
391,-3125.000000,15.625000
392,-3125.000000,15.625000
393,-3125.000000,15.625000
394,-3125.000000,15.625000
395,-3125.000000,15.625000
396,-3125.000000,15.625000
397,-3125.000000,15.625000
398,-3125.000000,15.625000
399,-3125.000000,15.625000
400,-3125.000000,15.625000
401,-3125.000000,15.625000
402,-3125.000000,15.625000
403,-3125.000000,15.625000
404,-3125.000000,15.625000
405,-3125.000000,15.625000
406,-3125.000000,7.812500
407,-3125.000000,15.625000
408,-3125.000000,7.812500
409,-3125.000000,7.812500
410,-3125.000000,7.812500
411,-3125.000000,15.625000
412,-3125.000000,7.812500
413,-3125.000000,7.812500
414,-3125.000000,7.812500
415,-3125.000000,7.812500
416,-3125.000000,7.812500
417,-3125.000000,7.812500
418,-3125.000000,7.812500
419,-3125.000000,7.812500
420,-3125.000000,7.812500
421,-3125.000000,15.625000
422,-3125.000000,7.812500
423,-3125.000000,7.812500
424,-3125.000000,7.812500
425,-3125.000000,15.625000
426,-3125.000000,15.625000
427,-3125.000000,15.625000
428,-3125.000000,15.625000
429,-3125.000000,15.625000
430,-3125.000000,15.625000
431,-3125.000000,15.625000
432,-3125.000000,15.625000
433,-3125.000000,15.625000
434,-3125.000000,15.625000
435,-3125.000000,15.625000
436,-3125.000000,15.625000
437,-3125.000000,15.625000
438,-3125.000000,15.625000
439,-3125.000000,15.625000
440,-3125.000000,15.625000
441,-3125.000000,15.625000
442,-3125.000000,15.625000
443,-3125.000000,15.625000
444,-3125.000000,15.625000
445,-3125.000000,15.625000
446,-3125.000000,15.625000
447,-3125.000000,15.625000
448,-3125.000000,15.625000
449,-3125.000000,15.625000
450,-3125.000000,15.625000
451,-3125.000000,15.625000
452,-3125.000000,15.625000
453,-3125.000000,15.625000
454,-3125.000000,15.625000
455,-3125.000000,15.625000
456,-3125.000000,15.625000
457,-3125.000000,15.625000
458,-3125.000000,15.625000
459,-3125.000000,15.625000
460,-3125.000000,15.625000
461,-3125.000000,15.625000
462,-3125.000000,15.625000
463,-3125.000000,7.812500
464,-3125.000000,7.812500
465,-3125.000000,7.812500
466,-3125.000000,7.812500
467,-3125.000000,7.812500
468,-3125.000000,7.812500
469,-3125.000000,7.812500
470,-3125.000000,7.812500
471,-3125.000000,7.812500
472,-3125.000000,7.812500
473,-3125.000000,7.812500
474,-3125.000000,7.812500
475,-3125.000000,7.812500
