Channel              :,CH1,CH2
Frequency            :,3.021kHz,3.021kHz
Period               :,0.331ms,0.331ms
PK-PK                :,5.391V,656.3mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.488281mV
Time interval        :,0.20000uS,0.20000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,2031.250000,617.187500
2,2031.250000,617.187500
3,2031.250000,617.187500
4,2031.250000,617.187500
5,2031.250000,617.187500
6,2031.250000,625.000000
7,2031.250000,617.187500
8,2031.250000,617.187500
9,2031.250000,617.187500
10,2031.250000,617.187500
11,2031.250000,617.187500
12,2031.250000,625.000000
13,2031.250000,617.187500
14,2031.250000,617.187500
15,2031.250000,617.187500
16,2031.250000,617.187500
17,2031.250000,617.187500
18,2031.250000,617.187500
19,2031.250000,617.187500
20,2031.250000,625.000000
21,2031.250000,625.000000
22,2031.250000,625.000000
23,2031.250000,617.187500
24,2031.250000,625.000000
25,2031.250000,617.187500
26,2031.250000,617.187500
27,1953.125000,617.187500
28,2031.250000,617.187500
29,2031.250000,617.187500
30,2031.250000,617.187500
31,2031.250000,617.187500
32,2031.250000,617.187500
33,1953.125000,617.187500
34,2031.250000,617.187500
35,2031.250000,617.187500
36,2031.250000,617.187500
37,2031.250000,609.375000
38,2031.250000,617.187500
39,2031.250000,609.375000
40,2031.250000,617.187500
41,1953.125000,609.375000
42,2031.250000,617.187500
43,2031.250000,609.375000
44,2031.250000,617.187500
45,2031.250000,609.375000
46,2031.250000,617.187500
47,2031.250000,609.375000
48,2031.250000,617.187500
49,2031.250000,617.187500
50,2031.250000,617.187500
51,2031.250000,609.375000
52,2031.250000,617.187500
53,2031.250000,609.375000
54,1953.125000,617.187500
55,2031.250000,609.375000
56,1953.125000,617.187500
57,2031.250000,617.187500
58,2031.250000,617.187500
59,2031.250000,609.375000
60,2031.250000,609.375000
61,2031.250000,609.375000
62,2031.250000,609.375000
63,2031.250000,609.375000
64,2031.250000,617.187500
65,2031.250000,609.375000
66,2031.250000,617.187500
67,2031.250000,609.375000
68,2031.250000,609.375000
69,2031.250000,609.375000
70,2031.250000,617.187500
71,2031.250000,609.375000
72,2031.250000,617.187500
73,2031.250000,609.375000
74,2031.250000,609.375000
75,2031.250000,609.375000
76,2031.250000,609.375000
77,1953.125000,609.375000
78,2031.250000,609.375000
79,2031.250000,609.375000
80,2031.250000,609.375000
81,2031.250000,609.375000
82,2031.250000,609.375000
83,2031.250000,609.375000
84,2031.250000,609.375000
85,2031.250000,609.375000
86,2031.250000,609.375000
87,2031.250000,609.375000
88,2031.250000,609.375000
89,2031.250000,609.375000
90,2031.250000,609.375000
91,2031.250000,609.375000
92,2031.250000,609.375000
93,2031.250000,609.375000
94,2031.250000,609.375000
95,2031.250000,609.375000
96,2031.250000,609.375000
97,2031.250000,609.375000
98,2031.250000,609.375000
99,2031.250000,609.375000
100,2031.250000,609.375000
101,2031.250000,609.375000
102,2031.250000,609.375000
103,2031.250000,609.375000
104,2031.250000,609.375000
105,2031.250000,609.375000
106,2031.250000,609.375000
107,2031.250000,609.375000
108,2031.250000,609.375000
109,2031.250000,609.375000
110,2031.250000,609.375000
111,2031.250000,609.375000
112,2031.250000,609.375000
113,2031.250000,609.375000
114,1953.125000,609.375000
115,2031.250000,609.375000
116,2031.250000,609.375000
117,2031.250000,609.375000
118,2031.250000,609.375000
119,2031.250000,609.375000
120,2031.250000,609.375000
121,2031.250000,609.375000
122,2031.250000,609.375000
123,2031.250000,609.375000
124,2031.250000,609.375000
125,2031.250000,609.375000
126,2031.250000,609.375000
127,2031.250000,609.375000
128,2031.250000,617.187500
129,2031.250000,617.187500
130,2031.250000,617.187500
131,2031.250000,617.187500
132,2031.250000,617.187500
133,2031.250000,617.187500
134,1484.375000,617.187500
135,-1875.000000,617.187500
136,-2968.750000,617.187500
137,-3125.000000,625.000000
138,-3203.125000,617.187500
139,-3203.125000,617.187500
140,-3125.000000,609.375000
141,-3125.000000,601.562500
142,-3125.000000,601.562500
143,-3125.000000,593.750000
144,-3125.000000,585.937500
145,-3125.000000,570.312500
146,-3125.000000,562.500000
147,-3125.000000,546.875000
148,-3125.000000,539.062500
149,-3125.000000,523.437500
150,-3125.000000,515.625000
151,-3125.000000,507.812500
152,-3125.000000,500.000000
153,-3125.000000,484.375000
154,-3125.000000,476.562500
155,-3125.000000,460.937500
156,-3125.000000,453.125000
157,-3125.000000,445.312500
158,-3125.000000,437.500000
159,-3125.000000,421.875000
160,-3125.000000,414.062500
161,-3125.000000,406.250000
162,-3125.000000,398.437500
163,-3125.000000,382.812500
164,-3125.000000,375.000000
165,-3125.000000,367.187500
166,-3125.000000,359.375000
167,-3125.000000,351.562500
168,-3125.000000,343.750000
169,-3125.000000,335.937500
170,-3125.000000,328.125000
171,-3125.000000,320.312500
172,-3125.000000,312.500000
173,-3125.000000,304.687500
174,-3125.000000,296.875000
175,-3125.000000,289.062500
176,-3125.000000,281.250000
177,-3125.000000,273.437500
178,-3125.000000,273.437500
179,-3125.000000,265.625000
180,-3125.000000,257.812500
181,-3125.000000,250.000000
182,-3125.000000,250.000000
183,-3125.000000,242.187500
184,-3125.000000,234.375000
185,-3125.000000,226.562500
186,-3125.000000,226.562500
187,-3125.000000,218.750000
188,-3125.000000,218.750000
189,-3125.000000,210.937500
190,-3125.000000,203.125000
191,-3125.000000,195.312500
192,-3125.000000,195.312500
193,-3125.000000,187.500000
194,-3125.000000,187.500000
195,-3125.000000,187.500000
196,-3125.000000,179.687500
197,-3125.000000,171.875000
198,-3125.000000,171.875000
199,-3125.000000,171.875000
200,-3125.000000,164.062500
201,-3125.000000,164.062500
202,-3125.000000,156.250000
203,-3125.000000,156.250000
204,-3125.000000,148.437500
205,-3125.000000,148.437500
206,-3125.000000,148.437500
207,-3125.000000,140.625000
208,-3125.000000,140.625000
209,-3125.000000,140.625000
