Channel              :,CH1,CH2
Frequency            :,1.381kHz,  ?
Period               :,0.724ms,  ?
PK-PK                :,703.1mV,7.422mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.012207mV
Time interval        :,0.40000uS,0.40000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,312.500000,5.078125
2,312.500000,5.078125
3,312.500000,4.882813
4,312.500000,3.906250
5,312.500000,4.492188
6,312.500000,4.492188
7,312.500000,4.101563
8,312.500000,3.906250
9,312.500000,5.273438
10,312.500000,5.078125
11,312.500000,4.296875
12,312.500000,4.882813
13,312.500000,5.273438
14,312.500000,4.492188
15,312.500000,2.734375
16,312.500000,5.078125
17,312.500000,4.882813
18,312.500000,3.710938
19,312.500000,4.882813
20,312.500000,5.664063
21,312.500000,4.882813
22,312.500000,4.296875
23,312.500000,4.882813
24,312.500000,4.687500
25,312.500000,3.710938
26,312.500000,3.710938
27,312.500000,5.859375
28,312.500000,5.078125
29,312.500000,3.710938
30,312.500000,4.882813
31,312.500000,5.078125
32,312.500000,4.492188
33,312.500000,3.710938
34,312.500000,4.492188
35,312.500000,4.492188
36,312.500000,3.710938
37,312.500000,4.101563
38,312.500000,5.078125
39,312.500000,5.078125
40,312.500000,3.906250
41,312.500000,4.492188
42,312.500000,4.687500
43,312.500000,3.710938
44,312.500000,3.125000
45,312.500000,4.296875
46,312.500000,4.296875
47,312.500000,2.734375
48,312.500000,4.296875
49,312.500000,5.273438
50,312.500000,4.296875
51,312.500000,3.515625
52,312.500000,3.906250
53,312.500000,4.492188
54,312.500000,3.515625
55,312.500000,3.320313
56,312.500000,4.882813
57,312.500000,4.687500
58,312.500000,4.687500
59,312.500000,4.101563
60,312.500000,4.296875
61,312.500000,4.687500
62,312.500000,3.710938
63,312.500000,3.906250
64,312.500000,4.687500
65,312.500000,4.101563
66,312.500000,4.101563
67,312.500000,4.882813
68,312.500000,5.273438
69,312.500000,4.296875
70,312.500000,3.320313
71,312.500000,3.710938
72,312.500000,5.273438
73,312.500000,3.320313
74,312.500000,4.101563
75,312.500000,4.882813
76,312.500000,4.882813
77,312.500000,3.710938
78,312.500000,4.687500
79,312.500000,5.078125
80,312.500000,3.710938
81,312.500000,3.710938
82,312.500000,4.101563
83,312.500000,4.101563
84,312.500000,3.320313
85,312.500000,4.492188
86,312.500000,5.468750
87,312.500000,4.882813
88,312.500000,3.906250
89,312.500000,4.296875
90,312.500000,4.492188
91,312.500000,3.906250
92,312.500000,3.710938
93,312.500000,3.906250
94,312.500000,4.492188
95,312.500000,4.101563
96,312.500000,4.101563
97,312.500000,4.882813
98,312.500000,4.492188
99,312.500000,3.125000
100,312.500000,3.906250
101,312.500000,4.492188
102,312.500000,3.906250
103,312.500000,3.906250
104,312.500000,4.882813
105,312.500000,5.078125
106,312.500000,4.101563
107,312.500000,4.101563
108,312.500000,4.296875
109,312.500000,3.906250
110,312.500000,3.515625
111,312.500000,4.101563
112,312.500000,4.882813
113,312.500000,4.882813
114,312.500000,4.101563
115,312.500000,4.296875
116,312.500000,5.664063
117,312.500000,3.710938
118,312.500000,3.320313
119,312.500000,4.296875
120,312.500000,5.078125
121,312.500000,4.101563
122,312.500000,4.296875
123,312.500000,5.078125
124,312.500000,5.078125
125,312.500000,4.492188
126,312.500000,4.101563
127,312.500000,4.492188
128,312.500000,4.882813
129,312.500000,3.515625
130,312.500000,4.882813
131,312.500000,5.859375
132,312.500000,4.492188
133,312.500000,4.296875
134,312.500000,4.882813
135,312.500000,4.687500
136,312.500000,3.906250
137,312.500000,3.906250
138,312.500000,4.882813
139,312.500000,5.859375
140,312.500000,4.296875
141,312.500000,4.492188
142,312.500000,5.468750
143,312.500000,4.687500
144,312.500000,3.710938
145,312.500000,4.492188
146,312.500000,4.882813
147,312.500000,4.101563
148,312.500000,4.687500
149,312.500000,5.468750
150,312.500000,5.273438
151,312.500000,4.492188
152,312.500000,4.492188
153,312.500000,5.078125
154,312.500000,4.296875
155,312.500000,3.710938
156,312.500000,4.882813
157,312.500000,5.078125
158,312.500000,4.492188
159,312.500000,4.882813
160,312.500000,7.226563
161,312.500000,5.078125
162,312.500000,3.320313
163,312.500000,4.492188
164,312.500000,4.687500
165,312.500000,4.101563
166,312.500000,4.296875
167,312.500000,5.273438
168,312.500000,5.078125
169,312.500000,3.906250
170,312.500000,4.492188
171,312.500000,4.882813
172,312.500000,3.710938
173,312.500000,3.320313
174,312.500000,4.492188
175,312.500000,4.687500
176,312.500000,4.296875
177,312.500000,4.101563
178,312.500000,4.882813
179,312.500000,4.687500
180,312.500000,3.710938
181,312.500000,4.101563
182,312.500000,4.492188
183,312.500000,3.515625
184,312.500000,3.906250
185,312.500000,4.101563
186,312.500000,4.296875
187,312.500000,3.906250
188,312.500000,4.296875
189,312.500000,4.687500
190,312.500000,3.515625
191,312.500000,3.320313
192,312.500000,3.320313
193,312.500000,4.687500
194,312.500000,3.515625
195,312.500000,3.710938
196,312.500000,5.078125
197,312.500000,4.492188
198,312.500000,3.515625
199,312.500000,4.296875
200,312.500000,4.296875
201,312.500000,3.906250
202,312.500000,3.515625
203,312.500000,4.296875
204,312.500000,4.492188
205,312.500000,4.882813
206,312.500000,3.515625
207,312.500000,5.078125
208,312.500000,4.492188
209,312.500000,3.515625
210,312.500000,4.101563
211,312.500000,4.492188
212,312.500000,3.710938
213,312.500000,3.906250
214,312.500000,5.078125
215,312.500000,4.882813
216,312.500000,3.906250
217,312.500000,4.492188
218,312.500000,4.687500
219,312.500000,4.101563
220,312.500000,3.515625
221,312.500000,4.492188
222,312.500000,4.687500
223,312.500000,4.101563
224,312.500000,4.296875
225,312.500000,5.273438
226,312.500000,5.078125
227,312.500000,4.101563
228,312.500000,4.492188
229,312.500000,4.687500
230,312.500000,3.710938
231,312.500000,3.125000
232,312.500000,4.882813
233,312.500000,5.078125
234,312.500000,4.296875
235,312.500000,4.492188
236,312.500000,4.687500
237,312.500000,4.101563
238,312.500000,3.710938
239,312.500000,4.296875
240,312.500000,4.687500
241,312.500000,4.101563
242,312.500000,4.492188
243,312.500000,5.273438
244,312.500000,5.468750
245,312.500000,4.101563
246,312.500000,4.492188
247,312.500000,4.882813
248,312.500000,4.101563
249,312.500000,4.101563
250,312.500000,3.710938
251,312.500000,5.273438
252,312.500000,4.296875
253,312.500000,4.492188
254,312.500000,5.078125
255,312.500000,4.492188
256,312.500000,3.515625
257,312.500000,3.906250
258,312.500000,4.492188
259,312.500000,3.906250
260,312.500000,4.296875
261,312.500000,4.882813
262,312.500000,4.882813
263,312.500000,3.906250
264,312.500000,4.101563
265,312.500000,4.492188
266,312.500000,4.101563
267,312.500000,3.320313
268,312.500000,4.492188
269,312.500000,4.882813
270,312.500000,4.296875
271,312.500000,4.296875
272,312.500000,5.078125
