Channel,CH1,CH2
Frequency            :,  ?,47.68kHz
Period               :,  ?,20.971us
PK-PK                :,3.047V,45.31mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.048828mV
Time interval        :,0.10000uS,0.10000uS
index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-1406.250000,-0.781250
2,-1406.250000,-0.781250
3,-1406.250000,-2.343750
4,-1406.250000,-2.343750
5,-1406.250000,-1.562500
6,-1406.250000,-0.781250
7,-1406.250000,-1.562500
8,-1406.250000,-1.562500
9,-1406.250000,-0.781250
10,-1406.250000,0.000000
11,-1406.250000,-0.781250
12,-1406.250000,-0.781250
13,-1406.250000,0.000000
14,-1406.250000,0.781250
15,-1406.250000,0.781250
16,-1406.250000,0.000000
17,-1406.250000,0.781250
18,-1406.250000,0.781250
19,-1406.250000,0.000000
20,-1406.250000,0.000000
21,-1406.250000,0.781250
22,-1406.250000,0.781250
23,-1406.250000,0.781250
24,-1406.250000,1.562500
25,-1406.250000,2.343750
26,-1406.250000,3.125000
27,-1406.250000,2.343750
28,-1406.250000,2.343750
29,-1406.250000,3.906250
30,-1406.250000,4.687500
31,-1406.250000,3.125000
32,-1406.250000,3.125000
33,-1406.250000,3.906250
34,-1406.250000,4.687500
35,-1406.250000,3.906250
36,-1406.250000,3.906250
37,-1406.250000,5.468750
38,-1406.250000,6.250000
39,-1406.250000,5.468750
40,-1406.250000,5.468750
41,-1406.250000,6.250000
42,-1406.250000,7.031250
43,-1406.250000,7.031250
44,-1406.250000,7.031250
45,-1406.250000,7.031250
46,-1406.250000,7.812500
47,-1406.250000,7.031250
48,-1406.250000,7.031250
49,-1406.250000,7.031250
50,-1406.250000,7.812500
51,-1406.250000,7.031250
52,-1406.250000,7.031250
53,-1406.250000,7.812500
54,-1406.250000,8.593750
55,-1406.250000,7.812500
56,-1406.250000,7.812500
57,-1406.250000,9.375000
58,-1406.250000,9.375000
59,-1406.250000,8.593750
60,-1406.250000,7.812500
61,-1406.250000,8.593750
62,-1406.250000,9.375000
63,-1406.250000,7.812500
64,-1406.250000,7.812500
65,-1406.250000,8.593750
66,-1406.250000,8.593750
67,-1406.250000,7.812500
68,-1406.250000,7.031250
69,-1406.250000,7.812500
70,-1406.250000,10.937500
71,-1406.250000,8.593750
72,-1406.250000,7.812500
73,-1406.250000,7.812500
74,-1406.250000,9.375000
75,-1406.250000,7.812500
76,-1406.250000,7.031250
77,-1406.250000,7.812500
78,-1406.250000,7.812500
79,-1406.250000,7.812500
80,-1406.250000,6.250000
81,-1406.250000,7.031250
82,-1406.250000,7.031250
83,-1406.250000,6.250000
84,-1406.250000,6.250000
85,-1406.250000,7.031250
86,-1406.250000,7.031250
87,-1406.250000,6.250000
88,-1406.250000,6.250000
