Channel              :,CH1,CH2
Frequency            :,  ?,35.78MHz
Period               :,  ?,27.95ns
PK-PK                :,703.1mV,3.320mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.012207mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-312.500000,2.343750
2,-312.500000,2.343750
3,-312.500000,3.515625
4,-312.500000,3.710938
5,-312.500000,2.734375
6,-312.500000,1.367188
7,-312.500000,1.171875
8,-312.500000,2.148438
9,-312.500000,3.320313
10,-312.500000,3.906250
11,-312.500000,2.929688
12,-312.500000,1.562500
13,-312.500000,1.171875
14,-312.500000,1.757813
15,-312.500000,3.125000
16,-312.500000,4.101563
17,-312.500000,3.320313
18,-312.500000,1.953125
19,-312.500000,1.171875
20,-312.500000,1.757813
21,-312.500000,2.929688
22,-312.500000,3.710938
23,-312.500000,3.320313
24,-312.500000,2.343750
25,-312.500000,1.562500
26,-312.500000,1.562500
27,-312.500000,2.734375
28,-312.500000,3.515625
29,-312.500000,3.320313
30,-312.500000,2.343750
31,-312.500000,1.562500
32,-312.500000,1.562500
33,-312.500000,2.539063
34,-312.500000,3.320313
35,-312.500000,3.320313
36,-312.500000,2.539063
37,-312.500000,1.757813
38,-312.500000,1.562500
39,-312.500000,2.148438
40,-312.500000,2.929688
41,-312.500000,3.125000
42,-312.500000,2.539063
43,-312.500000,1.757813
44,-312.500000,1.757813
45,-312.500000,2.343750
46,-312.500000,2.929688
47,-312.500000,3.125000
48,-312.500000,2.734375
49,-312.500000,2.148438
50,-312.500000,1.757813
51,-312.500000,2.148438
52,-312.500000,2.734375
53,-312.500000,3.125000
54,-312.500000,2.734375
55,-312.500000,2.148438
56,-312.500000,1.757813
57,-312.500000,2.343750
58,-312.500000,2.734375
59,-312.500000,2.734375
60,-312.500000,2.539063
61,-312.500000,2.148438
62,-312.500000,2.148438
63,-312.500000,2.148438
64,-312.500000,2.734375
65,-312.500000,2.734375
66,-312.500000,2.539063
67,-312.500000,2.148438
68,-312.500000,2.148438
69,-312.500000,2.539063
70,-312.500000,2.734375
71,-312.500000,2.734375
72,-312.500000,2.539063
73,-312.500000,2.148438
74,-312.500000,1.953125
75,-312.500000,2.343750
76,-312.500000,2.734375
77,-312.500000,2.734375
78,-312.500000,2.343750
79,-312.500000,1.953125
80,-312.500000,2.148438
81,-312.500000,2.539063
82,-312.500000,2.734375
83,-312.500000,2.734375
84,-312.500000,2.148438
85,-312.500000,1.953125
86,-312.500000,1.953125
87,-312.500000,2.343750
88,-312.500000,2.734375
89,-312.500000,2.929688
90,-312.500000,2.539063
91,-312.500000,1.757813
92,-312.500000,1.757813
93,-312.500000,2.148438
94,-312.500000,2.539063
95,-312.500000,2.734375
96,-312.500000,2.343750
97,-312.500000,1.953125
98,-312.500000,1.757813
