Channel              :,CH1,CH2
Frequency            :,  ?,36.25MHz
Period               :,  ?,27.58ns
PK-PK                :,703.1mV,3.125mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.012207mV
Time interval        :,0.00200uS,0.00200uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-312.500000,3.515625
2,-312.500000,3.515625
3,-312.500000,4.687500
4,-312.500000,4.687500
5,-312.500000,4.101563
6,-312.500000,3.515625
7,-312.500000,3.906250
8,-312.500000,4.492188
9,-312.500000,5.078125
10,-312.500000,5.468750
11,-312.500000,4.687500
12,-312.500000,3.906250
13,-312.500000,3.906250
14,-312.500000,4.687500
15,-312.500000,5.273438
16,-312.500000,5.273438
17,-312.500000,4.296875
18,-312.500000,3.515625
19,-312.500000,3.320313
20,-312.500000,3.710938
21,-312.500000,4.296875
22,-312.500000,4.687500
23,-312.500000,4.101563
24,-312.500000,3.320313
25,-312.500000,3.125000
26,-312.500000,3.710938
27,-312.500000,4.687500
28,-312.500000,5.273438
29,-312.500000,5.078125
30,-312.500000,4.296875
31,-312.500000,4.296875
32,-312.500000,5.078125
33,-312.500000,6.250000
34,-312.500000,6.640625
35,-312.500000,6.250000
36,-312.500000,5.468750
37,-312.500000,4.882813
38,-312.500000,5.468750
39,-312.500000,6.250000
40,-312.500000,6.445313
41,-312.500000,5.664063
42,-312.500000,4.492188
43,-312.500000,3.906250
44,-312.500000,4.296875
45,-312.500000,5.273438
46,-312.500000,5.859375
47,-312.500000,5.468750
48,-312.500000,4.101563
49,-312.500000,3.320313
50,-312.500000,4.101563
51,-312.500000,5.664063
52,-312.500000,6.445313
53,-312.500000,6.250000
54,-312.500000,5.468750
55,-312.500000,4.882813
56,-312.500000,5.273438
57,-312.500000,6.445313
58,-312.500000,7.812500
59,-312.500000,7.812500
60,-312.500000,6.640625
61,-312.500000,5.664063
62,-312.500000,5.664063
63,-312.500000,6.445313
64,-312.500000,7.421875
65,-312.500000,7.421875
66,-312.500000,6.250000
67,-312.500000,4.687500
68,-312.500000,4.296875
69,-312.500000,5.078125
70,-312.500000,6.250000
71,-312.500000,6.640625
72,-312.500000,5.664063
73,-312.500000,4.296875
74,-312.500000,3.906250
75,-312.500000,4.882813
76,-312.500000,6.054688
77,-312.500000,6.835938
78,-312.500000,6.445313
79,-312.500000,5.468750
80,-312.500000,4.882813
81,-312.500000,5.664063
82,-312.500000,7.031250
83,-312.500000,7.812500
84,-312.500000,7.226563
85,-312.500000,5.859375
86,-312.500000,5.078125
87,-312.500000,5.273438
88,-312.500000,6.250000
89,-312.500000,6.835938
90,-312.500000,6.445313
91,-312.500000,5.273438
92,-312.500000,4.101563
93,-312.500000,4.101563
94,-312.500000,4.882813
95,-312.500000,5.664063
96,-312.500000,5.468750
97,-312.500000,4.492188
98,-312.500000,3.515625
99,-312.500000,3.515625
100,-312.500000,4.492188
101,-312.500000,5.273438
102,-312.500000,5.468750
103,-312.500000,5.078125
104,-312.500000,4.492188
105,-312.500000,4.296875
106,-312.500000,5.078125
107,-312.500000,6.054688
108,-312.500000,6.054688
109,-312.500000,5.664063
110,-312.500000,5.078125
111,-312.500000,4.492188
112,-312.500000,4.882813
113,-312.500000,5.468750
114,-312.500000,5.859375
115,-312.500000,5.273438
116,-312.500000,4.296875
117,-312.500000,3.710938
