Channel              :,CH1,CH2
Frequency            :,605.7Hz,136.4Hz
Period               :,1.651ms,7.333ms
PK-PK                :,703.1mV,8.398mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.012207mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,312.500000,5.273438
2,312.500000,5.273438
3,312.500000,4.492188
4,312.500000,5.078125
5,312.500000,5.078125
6,312.500000,5.664063
7,312.500000,5.468750
8,312.500000,5.273438
9,312.500000,4.882813
10,312.500000,5.468750
11,312.500000,6.445313
12,312.500000,5.664063
13,312.500000,5.468750
14,312.500000,5.468750
15,312.500000,5.664063
16,312.500000,6.250000
17,-312.500000,5.273438
18,-312.500000,5.273438
19,-312.500000,5.078125
20,-312.500000,5.664063
21,-312.500000,5.273438
22,-312.500000,5.273438
23,-312.500000,5.468750
24,-312.500000,5.273438
25,-312.500000,5.859375
26,-312.500000,5.664063
27,-312.500000,5.468750
28,-312.500000,5.078125
29,-312.500000,5.664063
30,-312.500000,5.468750
31,-312.500000,5.664063
32,-312.500000,5.468750
33,-312.500000,4.882813
34,-312.500000,4.687500
35,-312.500000,5.078125
36,-312.500000,6.054688
37,-312.500000,6.054688
38,-312.500000,5.468750
39,-312.500000,4.882813
40,-312.500000,4.882813
41,-312.500000,5.664063
42,-312.500000,6.054688
43,-312.500000,5.468750
44,-312.500000,5.273438
45,-312.500000,4.687500
46,-312.500000,4.882813
47,-312.500000,5.664063
48,-312.500000,5.859375
49,-312.500000,5.664063
50,-312.500000,4.882813
51,-312.500000,5.273438
52,-312.500000,5.468750
53,-312.500000,5.859375
54,-312.500000,5.664063
55,-312.500000,5.273438
56,-312.500000,4.882813
57,-312.500000,5.078125
58,-312.500000,5.664063
59,-312.500000,5.468750
60,-312.500000,3.906250
61,-312.500000,5.468750
62,-312.500000,5.468750
63,-312.500000,5.273438
64,-312.500000,5.859375
65,-312.500000,5.664063
66,-312.500000,5.273438
67,-312.500000,5.273438
68,-312.500000,5.664063
69,-312.500000,5.664063
70,-312.500000,5.078125
71,-312.500000,5.273438
72,-312.500000,5.468750
73,-312.500000,5.078125
74,-312.500000,5.078125
75,-312.500000,5.468750
76,-312.500000,5.664063
77,-312.500000,5.273438
78,-312.500000,5.273438
79,-312.500000,5.078125
80,-312.500000,4.882813
81,-312.500000,4.882813
82,-312.500000,5.664063
83,-312.500000,5.859375
84,-312.500000,5.078125
85,-312.500000,4.687500
86,-312.500000,5.273438
87,-312.500000,5.859375
88,-312.500000,5.664063
89,-312.500000,5.273438
90,-312.500000,4.687500
91,-312.500000,5.078125
92,-312.500000,5.859375
93,-312.500000,5.859375
94,-312.500000,5.468750
95,-312.500000,5.273438
96,-312.500000,5.273438
97,-312.500000,5.468750
98,-312.500000,7.617188
99,-312.500000,5.468750
100,-312.500000,5.078125
101,-312.500000,5.078125
102,-312.500000,5.468750
103,-312.500000,6.445313
104,-312.500000,5.859375
105,-312.500000,5.664063
106,-312.500000,5.273438
107,-312.500000,5.078125
108,-312.500000,5.859375
109,-312.500000,5.664063
110,-312.500000,5.664063
111,-312.500000,5.273438
112,-312.500000,5.078125
113,-312.500000,5.468750
114,312.500000,6.445313
115,312.500000,5.859375
116,312.500000,5.468750
117,312.500000,5.468750
118,390.625000,5.664063
119,312.500000,6.054688
120,312.500000,5.859375
121,312.500000,5.859375
122,312.500000,5.273438
123,312.500000,5.468750
